RA_deg,Dec_deg,ROI_deg,Separation_deg,Region
94.29999999999983,-7.800000000000011,0.05,1.6931881697237077e-13,R50
94.40093385613865,-7.800000000000011,0.05,0.0999999997616613,R50
94.199066143861,-7.800000000000011,0.05,0.0999999997619992,R50
94.30000000000004,-7.700000000000012,0.05,0.09999999999998689,R50
94.29999999999981,-7.900000000000011,0.05,0.10000000000001076,R50
94.19909011572675,-7.700000000000012,0.05,0.14141297684917878,R50
94.40090988427333,-7.700000000000012,0.05,0.1414129768492385,R50
94.40095814700535,-7.900000000000011,0.05,0.1414298824232094,R50
94.19904185299427,-7.900000000000011,0.05,0.14142988242346816,R50
94.50186771227747,-7.800000000000011,0.05,0.1999999980945038,R50
94.09813228772218,-7.800000000000011,0.05,0.19999999809484173,R50
94.29999999999984,-7.600000000000012,0.05,0.19999999999998705,R50
94.29999999999983,-8.00000000000001,0.05,0.20000000000001247,R50
94.09818023145345,-7.700000000000012,0.05,0.22358559775055878,R50
94.50181976854662,-7.700000000000012,0.05,0.22358559775063439,R50
94.40088623103554,-7.600000000000012,0.05,0.2235962920199461,R50
94.19911376896414,-7.600000000000012,0.05,0.2235962920200847,R50
94.40098275725168,-8.00000000000001,0.05,0.2236176762600693,R50
94.19901724274797,-8.00000000000001,0.05,0.2236176762602203,R50
94.5019162940109,-7.900000000000011,0.05,0.22362836579852113,R50
94.09808370598873,-7.900000000000011,0.05,0.22362836579884843,R50
94.50177246207124,-7.600000000000012,0.05,0.28280948828497837,R50
94.09822753792844,-7.600000000000012,0.05,0.2828094882851975,R50
94.50196551450354,-8.00000000000001,0.05,0.2828771110513398,R50
94.09803448549611,-8.00000000000001,0.05,0.2828771110515786,R50
94.6028015684163,-7.800000000000011,0.05,0.2999999935693622,R50
93.99719843158336,-7.800000000000011,0.05,0.2999999935697001,R50
94.30000000000008,-7.500000000000012,0.05,0.299999999999989,R50
94.29999999999981,-8.10000000000001,0.05,0.30000000000001126,R50
93.99727034718016,-7.700000000000012,0.05,0.31619403348034775,R50
94.60272965281992,-7.700000000000012,0.05,0.31619403348042796,R50
94.19913710394206,-7.500000000000012,0.05,0.31621672198066353,R50
94.4008628960581,-7.500000000000012,0.05,0.316216721980717,R50
94.40100768726118,-8.10000000000001,0.05,0.3162394037419958,R50
94.19899231273844,-8.10000000000001,0.05,0.31623940374211146,R50
94.60287444101644,-7.900000000000011,0.05,0.3162620769305998,R50
93.99712555898319,-7.900000000000011,0.05,0.316262076930947,R50
94.60265869310695,-7.600000000000012,0.05,0.36049648113094485,R50
93.99734130689274,-7.600000000000012,0.05,0.3604964811312028,R50
94.09827420788405,-7.500000000000012,0.05,0.3605163803380141,R50
94.50172579211612,-7.500000000000012,0.05,0.3605163803381079,R50
94.50201537452256,-8.10000000000001,0.05,0.36059595300204356,R50
94.09798462547707,-8.10000000000001,0.05,0.36059595300224645,R50
94.6029482717554,-8.00000000000001,0.05,0.36061583811731707,R50
93.99705172824426,-8.00000000000001,0.05,0.360615838117598,R50
94.70373542455512,-7.800000000000011,0.05,0.39999998475722265,R50
93.89626457544453,-7.800000000000011,0.05,0.3999999847575606,R50
94.3,-7.400000000000013,0.05,0.3999999999999862,R50
94.29999999999984,-8.20000000000001,0.05,0.4000000000000116,R50
93.89636046290687,-7.700000000000012,0.05,0.41226456197802713,R50
94.70363953709321,-7.700000000000012,0.05,0.4122645619781091,R50
94.19916012102269,-7.400000000000013,0.05,0.4122993698079522,R50
94.40083987897731,-7.400000000000013,0.05,0.4122993698079522,R50
94.40103293742276,-8.20000000000001,0.05,0.41232256513326426,R50
94.19896706257693,-8.20000000000001,0.05,0.41232256513333937,R50
94.70383258802198,-7.900000000000011,0.05,0.4123573385909727,R50
93.89616741197764,-7.900000000000011,0.05,0.41235733859132767,R50
